strategy_id,product_id,input_name,parameter_id,low,base,high,feasible_at_low,feasible_at_high,threshold,direction,evaluations,note,bracket_low,bracket_high
S0,norepinephrine_1mgml_4ml,batches_per_site_year,product.batches_per_site_year_nominal,30.0,45.0,70.0,False,False,,infeasible_everywhere,"[{""value"": 30.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.7454955972854133, ""p_meet"": 0.0, ""mean_cost"": 12179857.830412114, ""mcse_cost"": 14537.322968006642, ""mean_shortage_days"": 270.0269646768894, ""mean_cost_per_unit"": 17.403949016448145, ""capacity_utilization"": 3504977.6, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 70.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.996596419671526, ""p_meet"": 0.85, ""mean_cost"": 12801364.831103351, ""mcse_cost"": 7916.776024640926, ""mean_shortage_days"": 8.571173329682365, ""mean_cost_per_unit"": 13.62574328391442, ""capacity_utilization"": 4697602.8, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",feasibility does not change between 30.0 and 70.0; no threshold inside the recorded range,,
S0,norepinephrine_1mgml_4ml,changeover_burden,product.changeover_days,1.0,3.0,10.0,False,False,,infeasible_everywhere,"[{""value"": 1.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9886464503774952, ""p_meet"": 0.8, ""mean_cost"": 12769037.110630581, ""mcse_cost"": 12175.195606109706, ""mean_shortage_days"": 20.362787513691128, ""mean_cost_per_unit"": 13.70394381523829, ""capacity_utilization"": 4660548.9, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 10.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.8226300683991203, ""p_meet"": 0.0, ""mean_cost"": 12338857.336841978, ""mcse_cost"": 13271.722400610606, ""mean_shortage_days"": 247.0638211938664, ""mean_cost_per_unit"": 15.954055649439846, ""capacity_utilization"": 3870790.7, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",feasibility does not change between 1.0 and 10.0; no threshold inside the recorded range,,
S1,norepinephrine_1mgml_4ml,capacity_utilization,product.annual_demand_units,500000.0,900000.0,1800000.0,False,False,,infeasible_everywhere,"[{""value"": 500000.0, ""strategy_id"": ""S1"", ""mean_fill"": 0.9939324112927924, ""p_meet"": 0.65, ""mean_cost"": 11763933.58380805, ""mcse_cost"": 5189.682010976774, ""mean_shortage_days"": 13.051786692223441, ""mean_cost_per_unit"": 22.599106430757274, ""capacity_utilization"": 2602688.35, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 1800000.0, ""strategy_id"": ""S1"", ""mean_fill"": 0.5818893211171907, ""p_meet"": 0.0, ""mean_cost"": 13123905.888731223, ""mcse_cost"": 24168.045084814326, ""mean_shortage_days"": 249.71418400876232, ""mean_cost_per_unit"": 12.033397985885541, ""capacity_utilization"": 5462507.4, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",feasibility does not change between 500000.0 and 1800000.0; no threshold inside the recorded range,,
S1,norepinephrine_1mgml_4ml,fixed_qa_labor_per_node,product.fixed_qa_labor_usd_per_site_year,1500000.0,3000000.0,6000000.0,False,False,,infeasible_everywhere,"[{""value"": 1500000.0, ""strategy_id"": ""S1"", ""mean_fill"": 0.98900908912292, ""p_meet"": 0.8, ""mean_cost"": 11194229.59845484, ""mcse_cost"": 12402.004079792481, ""mean_shortage_days"": 21.49294222343921, ""mean_cost_per_unit"": 12.009391214098546, ""capacity_utilization"": 4661858.25, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 6000000.0, ""strategy_id"": ""S1"", ""mean_fill"": 0.98900908912292, ""p_meet"": 0.8, ""mean_cost"": 15873347.118760476, ""mcse_cost"": 12402.004079792547, ""mean_shortage_days"": 21.49294222343921, ""mean_cost_per_unit"": 17.02974201751432, ""capacity_utilization"": 4661858.25, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",feasibility does not change between 1500000.0 and 6000000.0; no threshold inside the recorded range,,
S1,norepinephrine_1mgml_4ml,release_time,global.sterility_incubation_days,14.0,14.0,18.0,False,False,,infeasible_everywhere,"[{""value"": 14.0, ""strategy_id"": ""S1"", ""mean_fill"": 0.98900908912292, ""p_meet"": 0.8, ""mean_cost"": 12753935.438556721, ""mcse_cost"": 12402.004079792545, ""mean_shortage_days"": 21.49294222343921, ""mean_cost_per_unit"": 13.682841481903804, ""capacity_utilization"": 4661858.25, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 18.0, ""strategy_id"": ""S1"", ""mean_fill"": 0.9878551806388078, ""p_meet"": 0.8, ""mean_cost"": 12746950.504127767, ""mcse_cost"": 12375.539761421725, ""mean_shortage_days"": 23.21317771084337, ""mean_cost_per_unit"": 13.691786276839437, ""capacity_utilization"": 4656376.25, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",feasibility does not change between 14.0 and 18.0; no threshold inside the recorded range,,
S1,norepinephrine_1mgml_4ml,shelf_life,product.shelf_life_months,12.0,24.0,30.0,False,False,,infeasible_everywhere,"[{""value"": 12.0, ""strategy_id"": ""S1"", ""mean_fill"": 0.98900908912292, ""p_meet"": 0.8, ""mean_cost"": 12753935.438556721, ""mcse_cost"": 12402.004079792545, ""mean_shortage_days"": 21.49294222343921, ""mean_cost_per_unit"": 13.682841481903804, ""capacity_utilization"": 4661858.25, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 30.0, ""strategy_id"": ""S1"", ""mean_fill"": 0.98900908912292, ""p_meet"": 0.8, ""mean_cost"": 12753935.438556721, ""mcse_cost"": 12402.004079792545, ""mean_shortage_days"": 21.49294222343921, ""mean_cost_per_unit"": 13.682841481903804, ""capacity_utilization"": 4661858.25, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",feasibility does not change between 12.0 and 30.0; no threshold inside the recorded range,,
S1,norepinephrine_1mgml_4ml,raw_material_lead_time,product.material_lead_time_days,30.0,90.0,240.0,False,False,,infeasible_everywhere,"[{""value"": 30.0, ""strategy_id"": ""S1"", ""mean_fill"": 0.9908044332305609, ""p_meet"": 0.75, ""mean_cost"": 12753357.355904888, ""mcse_cost"": 10588.097186200168, ""mean_shortage_days"": 18.83257803943045, ""mean_cost_per_unit"": 13.654454480836929, ""capacity_utilization"": 4670643.8, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 240.0, ""strategy_id"": ""S1"", ""mean_fill"": 0.982338241652174, ""p_meet"": 0.65, ""mean_cost"": 12736604.191468861, ""mcse_cost"": 15284.244355574267, ""mean_shortage_days"": 28.573911555312158, ""mean_cost_per_unit"": 13.764267022103317, ""capacity_utilization"": 4629701.85, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",feasibility does not change between 30.0 and 240.0; no threshold inside the recorded range,,
S1,norepinephrine_1mgml_4ml,common_cause_dependence,global.common_cause_events_per_year,0.02,0.1,0.3,False,False,,infeasible_everywhere,"[{""value"": 0.02, ""strategy_id"": ""S1"", ""mean_fill"": 0.995977328623785, ""p_meet"": 0.85, ""mean_cost"": 12774155.420617577, ""mcse_cost"": 7770.8300250362445, ""mean_shortage_days"": 10.841484118291346, ""mean_cost_per_unit"": 13.603889799207852, ""capacity_utilization"": 4695059.7, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 0.3, ""strategy_id"": ""S1"", ""mean_fill"": 0.9742081495862029, ""p_meet"": 0.7, ""mean_cost"": 12705166.906419644, ""mcse_cost"": 23708.90578027955, ""mean_shortage_days"": 33.5745961117196, ""mean_cost_per_unit"": 13.864665760016894, ""capacity_utilization"": 4590128.05, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",feasibility does not change between 0.02 and 0.3; no threshold inside the recorded range,,
S1,norepinephrine_1mgml_4ml,supplier_concentration,global.supplier_disruptions_per_supplier_year,0.05,0.2,0.6,False,False,,infeasible_everywhere,"[{""value"": 0.05, ""strategy_id"": ""S1"", ""mean_fill"": 0.9909407730798121, ""p_meet"": 0.8, ""mean_cost"": 12757143.592897585, ""mcse_cost"": 10716.725814610832, ""mean_shortage_days"": 19.202628696604602, ""mean_cost_per_unit"": 13.657756949393194, ""capacity_utilization"": 4671093.25, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 0.6, ""strategy_id"": ""S1"", ""mean_fill"": 0.9847117390184505, ""p_meet"": 0.5, ""mean_cost"": 12736568.452518687, ""mcse_cost"": 10561.74523482169, ""mean_shortage_days"": 28.813944414019716, ""mean_cost_per_unit"": 13.722109839444794, ""capacity_utilization"": 4641422.45, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",feasibility does not change between 0.05 and 0.6; no threshold inside the recorded range,,
S1,norepinephrine_1mgml_4ml,commissioning_days,global.node_commissioning_days,365.0,730.0,1095.0,False,False,,infeasible_everywhere,"[{""value"": 365.0, ""strategy_id"": ""S1"", ""mean_fill"": 0.98900908912292, ""p_meet"": 0.8, ""mean_cost"": 12753935.438556721, ""mcse_cost"": 12402.004079792545, ""mean_shortage_days"": 21.49294222343921, ""mean_cost_per_unit"": 13.682841481903804, ""capacity_utilization"": 4661858.25, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 1095.0, ""strategy_id"": ""S1"", ""mean_fill"": 0.98900908912292, ""p_meet"": 0.8, ""mean_cost"": 12753935.438556721, ""mcse_cost"": 12402.004079792545, ""mean_shortage_days"": 21.49294222343921, ""mean_cost_per_unit"": 13.682841481903804, ""capacity_utilization"": 4661858.25, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",feasibility does not change between 365.0 and 1095.0; no threshold inside the recorded range,,
S1,norepinephrine_1mgml_4ml,activation_latency_days,global.reserved_capacity_activation_days,7.0,21.0,60.0,False,False,,infeasible_everywhere,"[{""value"": 7.0, ""strategy_id"": ""S1"", ""mean_fill"": 0.98900908912292, ""p_meet"": 0.8, ""mean_cost"": 12753935.438556721, ""mcse_cost"": 12402.004079792545, ""mean_shortage_days"": 21.49294222343921, ""mean_cost_per_unit"": 13.682841481903804, ""capacity_utilization"": 4661858.25, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 60.0, ""strategy_id"": ""S1"", ""mean_fill"": 0.98900908912292, ""p_meet"": 0.8, ""mean_cost"": 12753935.438556721, ""mcse_cost"": 12402.004079792545, ""mean_shortage_days"": 21.49294222343921, ""mean_cost_per_unit"": 13.682841481903804, ""capacity_utilization"": 4661858.25, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",feasibility does not change between 7.0 and 60.0; no threshold inside the recorded range,,
S1,norepinephrine_1mgml_4ml,node_capital,product.capital_usd_per_site,15000000.0,40000000.0,100000000.0,False,False,,infeasible_everywhere,"[{""value"": 15000000.0, ""strategy_id"": ""S1"", ""mean_fill"": 0.98900908912292, ""p_meet"": 0.8, ""mean_cost"": 8564434.456738405, ""mcse_cost"": 12402.004079792549, ""mean_shortage_days"": 21.49294222343921, ""mean_cost_per_unit"": 9.187813406907107, ""capacity_utilization"": 4661858.25, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 100000000.0, ""strategy_id"": ""S1"", ""mean_fill"": 0.98900908912292, ""p_meet"": 0.8, ""mean_cost"": 22808737.794920005, ""mcse_cost"": 12402.004079792594, ""mean_shortage_days"": 21.49294222343921, ""mean_cost_per_unit"": 24.470908861895147, ""capacity_utilization"": 4661858.25, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",feasibility does not change between 15000000.0 and 100000000.0; no threshold inside the recorded range,,
S1,norepinephrine_1mgml_4ml,batches_per_site_year,product.batches_per_site_year_nominal,30.0,45.0,70.0,False,True,48.125,feasible_above,"[{""value"": 30.0, ""strategy_id"": ""S1"", ""mean_fill"": 0.7501873897737649, ""p_meet"": 0.0, ""mean_cost"": 12163734.218870351, ""mcse_cost"": 14901.76491709977, ""mean_shortage_days"": 268.3667374041621, ""mean_cost_per_unit"": 17.272208252955785, ""capacity_utilization"": 3527088.35, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 70.0, ""strategy_id"": ""S1"", ""mean_fill"": 0.9972662769440994, ""p_meet"": 0.9, ""mean_cost"": 12795961.576451823, ""mcse_cost"": 6587.913031130057, ""mean_shortage_days"": 7.180983023001095, ""mean_cost_per_unit"": 13.610828770644403, ""capacity_utilization"": 4700646.95, ""feasible"": true, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 50.0, ""strategy_id"": ""S1"", ""mean_fill"": 0.9938226853264448, ""p_meet"": 0.9, ""mean_cost"": 12772265.836472664, ""mcse_cost"": 9127.61784673011, ""mean_shortage_days"": 14.46197973713034, ""mean_cost_per_unit"": 13.633823704557438, ""capacity_utilization"": 4684254.2, ""feasible"": true, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 40.0, ""strategy_id"": ""S1"", ""mean_fill"": 0.9817759592170736, ""p_meet"": 0.55, ""mean_cost"": 12715694.645922154, ""mcse_cost"": 15563.022618235156, ""mean_shortage_days"": 33.3645673603505, ""mean_cost_per_unit"": 13.749010087213952, ""capacity_utilization"": 4626995.0, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 45.0, ""strategy_id"": ""S1"", ""mean_fill"": 0.98900908912292, ""p_meet"": 0.8, ""mean_cost"": 12753935.438556721, ""mcse_cost"": 12402.004079792545, ""mean_shortage_days"": 21.49294222343921, ""mean_cost_per_unit"": 13.682841481903804, ""capacity_utilization"": 4661858.25, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 47.5, ""strategy_id"": ""S1"", ""mean_fill"": 0.9897438967145007, ""p_meet"": 0.75, ""mean_cost"": 12758157.908720423, ""mcse_cost"": 11427.521292527937, ""mean_shortage_days"": 19.962732749178535, ""mean_cost_per_unit"": 13.676436999500458, ""capacity_utilization"": 4665260.85, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 48.75, ""strategy_id"": ""S1"", ""mean_fill"": 0.9938644552475593, ""p_meet"": 0.9, ""mean_cost"": 12772480.009864267, ""mcse_cost"": 9458.284221292597, ""mean_shortage_days"": 13.97191265060241, ""mean_cost_per_unit"": 13.632924344195995, ""capacity_utilization"": 4684664.3, ""feasible"": true, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",bisection over 5 steps on 20 paired runs,47.5,48.75
S1,norepinephrine_1mgml_4ml,changeover_burden,product.changeover_days,1.0,3.0,10.0,False,False,,infeasible_everywhere,"[{""value"": 1.0, ""strategy_id"": ""S1"", ""mean_fill"": 0.9897620300626789, ""p_meet"": 0.75, ""mean_cost"": 12752866.967070641, ""mcse_cost"": 12252.145637814516, ""mean_shortage_days"": 18.902587623220157, ""mean_cost_per_unit"": 13.671668381455863, ""capacity_utilization"": 4665207.6, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 10.0, ""strategy_id"": ""S1"", ""mean_fill"": 0.8189395596868845, ""p_meet"": 0.0, ""mean_cost"": 12307238.86348613, ""mcse_cost"": 13968.906632500195, ""mean_shortage_days"": 245.8836596385542, ""mean_cost_per_unit"": 15.995585978997195, ""capacity_utilization"": 3851553.6, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",feasibility does not change between 1.0 and 10.0; no threshold inside the recorded range,,
